no	correct	incorrect	question	answer1	answer2	answer3
1	0	2	소프트웨어를 개발하기 위한 설계, 운용, 유지보수 등의 과정을 각 단계별로 나눈 것은? 소프트웨어 개발 단계와 각 단계별 주요 활동 그리고 활동의 결과에 대한 산출물로 표현한다.	소프트웨어 생명 주기	Software Life Cycle
2	0	1	이전 단계로 돌아갈 수 없다는 전제하에 각 단계를 확실히 매듭짓고 그 결과를 철저하게 검토하여 승인 과정을 거친 후에 다음 단계를 진행하는 개발 방법론은? 가장 오래되고 가장 폭넓게 사용된 전통적인 소프트웨어 생명 주기 모형이다. 고전적 생명 주기 모형이라고도 한다. 모형을 적용한 경험과 성공 사례가 많다. 각 단계가 끝난 후에는 다음 단계를 수행하기 위한 결과물이 명확하게 산출되어야 한다.	폭포수 모형	Waterfall Model
3	0	0	사용자의 요구사항을 파악하기 위해 실제 개발될 소프트웨어에 대한 견본품(Prototype)을 만들어 최종 결과물을 예측하는 모형은? 견본품은 사용자와 시스템 사이의 인터페이스에 중점을 두어 개발한다.	프로토타입 모형	Prototype Model
4	0	0	나선을 따라 돌듯이 여러 번의 소프트웨어 개발 과정을 거쳐 점진적으로 완벽한 최종 소프트웨어를 개발하는 모형은? 보헴(Boehm)이 제한하였다. 폭포수 모형과 프로토타입 모형의 장점에 위험 분석 기능을 추가한 모형이다. 누락되거나 추가된 요구사항을 첨가할 수 있다. 유지보수 과정이 필요없다. 계획 수립 - > 위험 분석 - > 개발 및 검증 - > 고객 평가 - > 계획 수립의 사이클을 가진다.	나선형 모형	Spiral Model	점진적 모형
5	0	0	○○○은 '민첩한', '기민한'이라는 의미로, 고객의 요구사항 변화에 유연하게 대응할 수 있도록 일정한 주기를 반복하면서 개발하는 모형은? 어느 특정 개발 방법론이 아니라 좋은 것을 빠르고 낭비 없게 만들기 위해 고객과의 소통에 초점을 맞춘 방법론을 통칭한다. 폭포수 모형과 대조적이다. 기업 활동 전반에 걸쳐 사용된다. 대표적인 개발 모형으로 스크럼(Scrum), XP(eXtreme Programming), 칸반(kanban), Lean, 기능 중심 개발(FDD; Feature Driven Development)이 있다.	애자일 모형	Agile Model
6	0	0	○○○ 개발 네 가지 핵심 가치. 1. 프로세스와 도구보다는 개인과 상호작용에 더 가치를 둔다. 2. 방대한 문서보다는 실행되는 SW에 더 가치를 둔다. 3. 계약 협상보다는 고객과 협업에 더 가치를 둔다. 4. 계획을 따르기 보다는 변화에 반응하는 것에 더 가치를 둔다.	애자일
7	0	0	소프트웨어의 위기를 극복하기 위한 방안으로 연구된 학문은? 여러 가지 방법론과 도구, 관리 기법들을 통하여 소프트웨어의 품질과 생산성 향상을 목적으로 한다. ○○○의 기본 원칙. 1. 현대적인 프로그래밍 기술을 계속적으로 적용해야 한다. 2. 개발된 소프트웨어의 품질이 유지되도록 지속적으로 검증해야 한다. 3. 소프트웨어 개발 관련 사항 및 결과에 대한 명확한 기록을 유지해야 한다.	소프트웨어 공학	SE	Software Engineering
8	0	0	팀이 중심이 되어 개발의 효율성을 높이는 기법은? 팀원 스스로가 ○○○ 팀을 구성하고 개발 작업에 관한 모든 것을 스스로 해결할 수 있어야 한다.	스크럼	Scrum
9	0	0	다음은 스크럼 팀을 이루는 세 가지의 구성원 중 하나에 대한 설명이다. 1. 요구사항이 담긴 백로그(Backlog)를 작성하는 주체. 2. 이해관계자들 중 개발될 제품에 대한 이해도가 높고, 요구사항을 책임지고 의사를 결정할 사람으로 선정.	제품 책임자	PO	Product Owner
10	0	0	다음은 스크럼 팀을 이루는 세 가지의 구성원 중 하나에 대한 설명이다. 스크럼 팀이 스크럼을 잘 수행할 수 있도록 가이드 역할을 수행함.	스크럼 마스터	SM	Scrum Master
11	0	0	다음은 스크럼 팀을 이루는 세 가지의 구성원 중 하나에 대한 설명이다. 제품 책임자와 스크럼 마스터를 제외한 모든 팀원으로 제품 개발을 수행함.	개발팀	DT	Development Team
12	0	0	다음은 스크럼 개발 프로세스의 다섯 단계 중 하나에 대한 설명이다. 제품 백로그 중 이번 스프린트에서 수행할 작업을 대상으로 단기 일정을 수립하는 회의.	스프린트 계획 회의	Sprint Planning Meeting
13	0	0	다음은 스크럼 개발 프로세스의 다섯 단계 중 하나에 대한 설명이다. 실제 개발 작업을 진행하는 과정으로, 보통 2~4주 정도의 기간 내에서 진행함.	스프린트	Sprint
14	0	0	다음은 스크럼 개발 프로세스의 다섯 단계 중 하나에 대한 설명이다. 1. 모든 팀원이 매일 약속된 시간에 약 15분 동안 진행 상황을 점검하는 회의. 2. 남은 작업 시간은 소멸 차트(Burn- down Chart)에 표시함.	일일 스크럼 회의	Daily Scrum Meeting
15	0	0	다음은 스크럼 개발 프로세스의 다섯 단계 중 하나에 대한 설명이다. 부분 또는 전체 완성 제품이 요구사항에 잘 부합하는지 테스팅하는 회의.	스프린트 검토 회의	Sprint Review
16	0	0	다음은 스크럼 개발 프로세스의 다섯 단계 중 하나에 대한 설명이다. 정해놓은 규칙 준수 여부 및 개선할 점을 확인하고 기록하는 것.	스프린트 회고	Sprint Retrospective
17	0	0	수시로 발생하는 고객의 요구사항에 유연하게 대응하기 위해 고객의 참여와 개발 과정의 반복을 극대화하여 개발 생산성을 향상시키는 방법은? 짧고 반복적인 개발 주기, 단순한 설계, 고객의 적극적인 참여를 통해 소프트웨어를 빠르게 개발하는 것을 목적으로 한다. 릴리즈의 기간을 짧게 반복하면서 고객의 요구사항 반영에 대한 가시성을 높인다. ○○○의 다섯 가지 핵심 가치. 1. 의사소통(Communication). 2. 단순성(Simplicity). 3. 용기(Courage). 4. 존중(Respect). 5. 피드백(Feedback).	XP	eXtreme Programming
18	0	0	다음은 XP 개발 프로세스의 네 종류 프로세스 중 하나에 대한 설명이다. 1. 부분 혹은 전체 개발 완료 시점에 대한 일정을 수립하는 것. 2. 몇 개의 스토리가 적용되어 부분적으로 기능이 완료된 제품을 제공하는 것을 릴리즈라고 함.	릴리즈 계획 수립	Release Planning
19	0	0	다음은 XP 개발 프로세스의 네 종류 프로세스 중 하나에 대한 설명이다. 실제 개발 작업을 진행하는 과정으로, 보통 1~3주 정도의 기간으로 진행됨.	이터레이션	Iteration	주기
20	0	0	다음은 XP 개발 프로세스의 네 종류 프로세스 중 하나에 대한 설명이다. 하나의 이터레이션 안에서 부분 완료 제품이 구현되면 수행하는 테스트	승인 검사	Acceptance Test	인수 테스트
21	0	0	다음은 XP 개발 프로세스의 네 종류 프로세스 중 하나에 대한 설명이다. 요구사항에 유연하게 대응할 수 있도록 릴리즈의 규모를 축소한 것.	소규모 릴리즈	Small Release
22	0	0	다음은 XP의 주요 실천 방법(Practice)의 일곱 가지 방법 중 하나에 대한 설명이다. 다른 사람과 함께 프로그래밍을 수행함으로써 개발에 대한 책임을 공동으로 나눠 갖는 환경을 조성함.	Pair Programming 짝 프로그래밍
23	0	0	다음은 XP의 주요 실천 방법(Practice)의 일곱 가지 방법 중 하나에 대한 설명이다. 개발 코드에 대한 권한과 책임을 공동으로 소유함.	Collective Ownership	공동 코드 소유
24	0	0	다음은 XP의 주요 실천 방법(Practice)의 일곱 가지 방법 중 하나에 대한 설명이다. 1. 개발자가 실제 코드를 작성하기 전에 테스트 케이스를 먼저 작성하므로 자신이 무엇을 해야할지를 정확히 파악함. 2. 테스트가 지속적으로 진행될 수 있도록 자동화된 테스팅 도구(구조, 프레임워크)를 사용함.	Test- Driven Development	테스트 주도 개발
25	0	0	다음은 XP의 주요 실천 방법(Practice)의 일곱 가지 방법 중 하나에 대한 설명이다. 개발에 참여하는 모든 구성원(고객 포함)들은 각자 자신의 역할이 있고 그 역할에 대한 책임을 가져야 함.	Whole Team	전체 팀
